date,category,commodity,unit,commodity_id,price,usdprice
2004-01-15,cereals and tubers,Rice (red nadu),KG,157.0,32.71,0.33
2004-01-15,cereals and tubers,Wheat flour,KG,58.0,26.66,0.27
2004-02-15,cereals and tubers,Rice (red nadu),KG,157.0,33.62,0.34
2004-03-15,cereals and tubers,Rice (red nadu),KG,157.0,32.92,0.34
2004-03-15,cereals and tubers,Wheat flour,KG,58.0,26.63,0.27
2004-04-15,cereals and tubers,Rice (red nadu),KG,157.0,32.98,0.34
2004-04-15,cereals and tubers,Wheat flour,KG,58.0,26.67,0.27
2004-05-15,cereals and tubers,Rice (red nadu),KG,157.0,34.1,0.35
2004-06-15,cereals and tubers,Rice (red nadu),KG,157.0,33.74,0.33
2004-07-15,cereals and tubers,Wheat flour,KG,58.0,26.63,0.26
2004-08-15,cereals and tubers,Rice (red nadu),KG,157.0,34.78,0.34
2004-08-15,cereals and tubers,Wheat flour,KG,58.0,26.7,0.26
2004-09-15,cereals and tubers,Rice (red nadu),KG,157.0,37.14,0.36
2004-09-15,cereals and tubers,Wheat flour,KG,58.0,27.49,0.27
2004-10-15,cereals and tubers,Wheat flour,KG,58.0,28.15,0.27
2004-11-15,cereals and tubers,Rice (red nadu),KG,157.0,45.92,0.44
2004-11-15,cereals and tubers,Wheat flour,KG,58.0,49.33,0.47
2004-12-15,cereals and tubers,Rice (red nadu),KG,157.0,41.83,0.39
2004-12-15,cereals and tubers,Wheat flour,KG,58.0,63.09,0.6
2005-01-15,cereals and tubers,Rice (red nadu),KG,157.0,38.39,0.39
2005-01-15,cereals and tubers,Wheat flour,KG,58.0,35.14,0.36
2005-02-15,cereals and tubers,Rice (red nadu),KG,157.0,36.25,0.37
2005-02-15,cereals and tubers,Wheat flour,KG,58.0,29.27,0.29
2005-04-15,cereals and tubers,Rice (red nadu),KG,157.0,32.25,0.32
2005-04-15,cereals and tubers,Wheat flour,KG,58.0,32.48,0.33
2005-05-15,cereals and tubers,Rice (red nadu),KG,157.0,31.66,0.32
2005-05-15,cereals and tubers,Wheat flour,KG,58.0,30.68,0.31
2005-06-15,cereals and tubers,Rice (red nadu),KG,157.0,31.32,0.31
2005-06-15,cereals and tubers,Wheat flour,KG,58.0,28.02,0.28
2005-07-15,cereals and tubers,Wheat flour,KG,58.0,27.54,0.27
2005-08-15,cereals and tubers,Wheat flour,KG,58.0,29.48,0.29
2005-09-15,cereals and tubers,Rice (red nadu),KG,157.0,30.68,0.3
2005-09-15,cereals and tubers,Wheat flour,KG,58.0,29.66,0.29
2005-10-15,cereals and tubers,Rice (red nadu),KG,157.0,30.83,0.3
2005-10-15,cereals and tubers,Wheat flour,KG,58.0,30.27,0.3
2005-11-15,cereals and tubers,Rice (red nadu),KG,157.0,32.39,0.32
2005-11-15,cereals and tubers,Wheat flour,KG,58.0,30.44,0.3
2006-01-15,cereals and tubers,Rice (red nadu),KG,157.0,35.23,0.35
2006-01-15,cereals and tubers,Wheat flour,KG,58.0,30.24,0.3
2006-02-15,cereals and tubers,Rice (red nadu),KG,157.0,29.82,0.29
2006-02-15,cereals and tubers,Wheat flour,KG,58.0,30.98,0.3
2006-03-15,cereals and tubers,Rice (red nadu),KG,157.0,27.88,0.27
2006-03-15,cereals and tubers,Wheat flour,KG,58.0,32.28,0.32
2006-04-15,cereals and tubers,Rice (red nadu),KG,157.0,30.52,0.3
2006-04-15,cereals and tubers,Wheat flour,KG,58.0,33.1,0.32
2006-05-15,cereals and tubers,Rice (red nadu),KG,157.0,32.5,0.32
2006-05-15,cereals and tubers,Wheat flour,KG,58.0,30.59,0.3
2006-06-15,cereals and tubers,Rice (red nadu),KG,157.0,30.52,0.29
2006-06-15,cereals and tubers,Wheat flour,KG,58.0,34.7,0.33
2006-07-15,cereals and tubers,Rice (red nadu),KG,157.0,30.86,0.3
2006-07-15,cereals and tubers,Rice (white),KG,133.0,30.25,0.29
2006-07-15,cereals and tubers,Wheat flour,KG,58.0,33.81,0.33
2006-08-15,cereals and tubers,Rice (red nadu),KG,157.0,33.29,0.32
2006-08-15,cereals and tubers,Wheat flour,KG,58.0,37.65,0.36
2006-09-15,cereals and tubers,Rice (red nadu),KG,157.0,34.5,0.34
2006-09-15,cereals and tubers,Rice (white),KG,133.0,29.92,0.29
2006-09-15,cereals and tubers,Wheat flour,KG,58.0,39.82,0.39
2006-10-15,cereals and tubers,Rice (red nadu),KG,157.0,59.25,0.56
2006-10-15,cereals and tubers,Rice (white),KG,133.0,29.66,0.28
2006-10-15,cereals and tubers,Wheat flour,KG,58.0,45.56,0.43
