Product Name,Category
Baby Wipes  128GB,Baby Products
Electric Drill Max Size M,Tools And Hardware
MacBook,Electronics
Sugar Max 128GB,Food And Grocery
HP Pavilion Lite 256GB,Electronics
Pen Set Max Size M,Education And Stationery
Stand Mixer 2025 Edition 256GB,Kitchen Appliances
Windshield Wipers Pro 500ml,Automotive
Moisturizer Plus Size M,Health And Beauty
Baby Powder Pro 500ml,Baby Products
Eraser  256GB,Education And Stationery
iPhone Lite 256GB,Electronics
Samsung Galaxy Lite 1L,Electronics
Measuring Tape Lite Size M,Tools And Hardware
Coffee Maker Pro,Kitchen Appliances
Cap 2025 Edition Size M,Apparel And Fashion
Chocolate Pro XL,Food And Grocery
Screwdriver Set 2025 Edition XL,Tools And Hardware
Electric Drill Max,Tools And Hardware
Toothpaste Lite XL,Health And Beauty
Moisturizer 2025 Edition XL,Health And Beauty
Dish Soap Plus 1L,Household Items
Toothbrush Max 256GB,Personal Care
Hair Oil  Size M,Health And Beauty
Nike T-Shirt Pro 128GB,Apparel And Fashion
Blender  Size M,Kitchen Appliances
Talcum Powder Max 256GB,Personal Care
Trash Bags  256GB,Household Items
Moisturizer Max,Health And Beauty
Mop 2025 Edition 256GB,Household Items
Conditioner 2025 Edition 1L,Health And Beauty
Car Battery  XL,Automotive
Toothbrush 2025 Edition Size M,Personal Care
Talcum Powder Pro 128GB,Personal Care
Hair Oil 2025 Edition Size M,Health And Beauty
Trash Bags  1L,Household Items
Toothpaste  256GB,Health And Beauty
iPhone Max 1L,Electronics
Stand Mixer Max 500ml,Kitchen Appliances
Air Freshener 2025 Edition 500ml,Household Items
Baby Lotion Plus Size M,Baby Products
Bluetooth Speaker  256GB,Electronics
Baby Diapers Lite XL,Baby Products
Conditioner Max 500ml,Health And Beauty
Fuel Filter Lite XL,Automotive
Perfume 2025 Edition 256GB,Health And Beauty
Body Lotion Pro Size M,Health And Beauty
iPhone 2025 Edition Size M,Electronics
Router 2025 Edition Size M,Electronics
Blender Lite 500ml,Kitchen Appliances
Talcum Powder Plus 500ml,Personal Care
Baby Wipes Plus XL,Baby Products
Perfume Pro 500ml,Health And Beauty
Nike T-Shirt Pro XL,Apparel And Fashion
Hammer Max 128GB,Tools And Hardware
Face Wash Lite XL,Health And Beauty
Pen Set  1L,Education And Stationery
Fuel Filter Lite Size M,Automotive
Brake Fluid  Size M,Automotive
Shampoo Pro XL,Health And Beauty
Air Fryer 2025 Edition 500ml,Kitchen Appliances
Shorts 2025 Edition XL,Apparel And Fashion
Polo Shirt 2025 Edition 128GB,Apparel And Fashion
Router Max 256GB,Electronics
Adidas Hoodie  500ml,Apparel And Fashion
Talcum Powder 2025 Edition 128GB,Personal Care
MacBook Pro,Electronics
Rice Lite 1L,Food And Grocery
Dish Soap Max,Household Items
Tea Pack 2025 Edition,Food And Grocery
Perfume  500ml,Health And Beauty
Levi's Jeans 2025 Edition 500ml,Apparel And Fashion
Baby Diapers  500ml,Baby Products
Wireless Earbuds  500ml,Electronics
Bluetooth Speaker Pro 128GB,Electronics
Shampoo Lite Size M,Health And Beauty
Leather Jacket Pro 1L,Apparel And Fashion
HP Pavilion 2025 Edition 256GB,Electronics
Engine Oil Pro 1L,Automotive
Screwdriver Set Max,Tools And Hardware
Baby Diapers Lite Size M,Baby Products
Juicer Max XL,Kitchen Appliances
Electric Drill Lite,Tools And Hardware
Summer Dress Max 256GB,Apparel And Fashion
Air Freshener 2025 Edition 128GB,Household Items
Feeding Bottle Lite 500ml,Baby Products
Baby Lotion 2025 Edition,Baby Products
