text,label
69.49,PRICE
128.93,PRICE
983.06,PRICE
717.52,PRICE
323.95,PRICE
Brown Sugar - 4kg,TITLE
918.73,PRICE
120.18,PRICE
473.0,PRICE
Viva Original - 3pcs,TITLE
Brown Sugar - 4pcs,TITLE
438.76,PRICE
Milk 1L - 5kg,TITLE
201.28,PRICE
100.24,PRICE
Olive Oil - 2g,TITLE
853.16,PRICE
Olive Oil - 5pack,TITLE
Milk 1L - 2ml,TITLE
294.46,PRICE
Canned Beans - 4pack,TITLE
Olive Oil - 2pcs,TITLE
Canned Beans - 4g,TITLE
912.42,PRICE
Olive Oil - 1kg,TITLE
158.59,PRICE
Brown Sugar - 1pack,TITLE
711.56,PRICE
259.15,PRICE
582.37,PRICE
Milk 1L - 4L,TITLE
Milk 1L - 4pack,TITLE
Brown Sugar - 1ml,TITLE
607.08,PRICE
Milk 1L - 2L,TITLE
886.06,PRICE
682.83,PRICE
112.27,PRICE
440.15,PRICE
Milk 1L - 1pcs,TITLE
532.24,PRICE
Rice - Basmati - 4pcs,TITLE
217.18,PRICE
416.23,PRICE
644.62,PRICE
Whole Wheat Flour - 3ml,TITLE
95.03,PRICE
Olive Oil - 5g,TITLE
Rice - Basmati - 3kg,TITLE
Viva Original - 2pack,TITLE
50.37,PRICE
663.78,PRICE
731.54,PRICE
498.37,PRICE
Tomato Paste - 1ml,TITLE
138.15,PRICE
Whole Wheat Flour - 3g,TITLE
Rice - Basmati - 5ml,TITLE
406.07,PRICE
108.91,PRICE
Olive Oil - 1kg,TITLE
497.39,PRICE
Brown Sugar - 3ml,TITLE
858.31,PRICE
867.71,PRICE
758.97,PRICE
712.09,PRICE
Viva Original - 4g,TITLE
Rice - Basmati - 3L,TITLE
Canned Beans - 5kg,TITLE
570.89,PRICE
Red Split Lentils - 1kg,TITLE
Milk 1L - 3g,TITLE
Viva Original - 1ml,TITLE
919.64,PRICE
Whole Wheat Flour - 2ml,TITLE
836.67,PRICE
Viva Original - 5pack,TITLE
Canned Beans - 1ml,TITLE
Rice - Basmati - 3ml,TITLE
Whole Wheat Flour - 5pcs,TITLE
Viva Original - 4pcs,TITLE
488.5,PRICE
Canned Beans - 3pack,TITLE
Milk 1L - 5g,TITLE
806.84,PRICE
199.59,PRICE
Tomato Paste - 2kg,TITLE
884.94,PRICE
Canned Beans - 1ml,TITLE
501.61,PRICE
Red Split Lentils - 2ml,TITLE
Rice - Basmati - 1g,TITLE
277.63,PRICE
986.41,PRICE
Viva Original - 2pack,TITLE
Canned Beans - 5kg,TITLE
Olive Oil - 3kg,TITLE
Viva Original - 2pack,TITLE
Whole Wheat Flour - 5pack,TITLE
Viva Original - 3kg,TITLE
181.04,PRICE
Canned Beans - 5pcs,TITLE
Red Split Lentils - 2ml,TITLE
765.95,PRICE
128.27,PRICE
Brown Sugar - 3pack,TITLE
168.24,PRICE
591.06,PRICE
Olive Oil - 2ml,TITLE
473.05,PRICE
386.06,PRICE
Rice - Basmati - 5ml,TITLE
667.54,PRICE
Canned Beans - 2kg,TITLE
Canned Beans - 5L,TITLE
898.03,PRICE
401.13,PRICE
599.62,PRICE
Canned Beans - 4g,TITLE
725.13,PRICE
293.45,PRICE
Rice - Basmati - 5kg,TITLE
Canned Beans - 1L,TITLE
Tomato Paste - 2pcs,TITLE
647.19,PRICE
212.76,PRICE
91.72,PRICE
Whole Wheat Flour - 5g,TITLE
236.37,PRICE
574.5,PRICE
Milk 1L - 5kg,TITLE
83.6,PRICE
89.46,PRICE
Rice - Basmati - 2kg,TITLE
359.42,PRICE
Cheddar Cheese - 2ml,TITLE
961.18,PRICE
304.57,PRICE
824.89,PRICE
317.19,PRICE
Brown Sugar - 2kg,TITLE
85.25,PRICE
Whole Wheat Flour - 5pack,TITLE
Cheddar Cheese - 5ml,TITLE
Viva Original - 5pcs,TITLE
Canned Beans - 2L,TITLE
467.66,PRICE
181.81,PRICE
752.38,PRICE
123.35,PRICE
Canned Beans - 5pcs,TITLE
947.52,PRICE
794.61,PRICE
63.39,PRICE
Brown Sugar - 2pack,TITLE
702.37,PRICE
Red Split Lentils - 1L,TITLE
260.16,PRICE
305.68,PRICE
556.0,PRICE
Viva Original - 3pcs,TITLE
Tomato Paste - 2kg,TITLE
105.41,PRICE
Canned Beans - 2L,TITLE
751.24,PRICE
652.42,PRICE
Milk 1L - 3kg,TITLE
Canned Beans - 1pack,TITLE
190.46,PRICE
157.29,PRICE
Cheddar Cheese - 5ml,TITLE
Olive Oil - 4pack,TITLE
575.03,PRICE
Rice - Basmati - 1pack,TITLE
674.98,PRICE
343.29,PRICE
Cheddar Cheese - 5pcs,TITLE
Tomato Paste - 4pack,TITLE
151.92,PRICE
722.02,PRICE
Milk 1L - 5ml,TITLE
